ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.875895135,226.2847878,12710.24945,7.303126583,346.4032581,445.3741474,6.063461913,63.12804403,4.238589203,0
7.725332908,252.2654912,36477.73811,8.386761008,426.5435898,339.4113267,17.48584425,60.48388466,3.724836704,0
3.388090611,212.0289445,20230.12558,8.56978153,349.1559987,353.9129274,18.20833967,82.38787399,2.798600948,0
6.745306715,218.424637,21871.8387,7.165509192,,373.0501016,16.82661946,74.08607997,3.90235259,0
,190.4238985,28062.64189,9.615147027,357.2267095,263.7719135,13.4452252,67.0555584,5.629015636,0
7.183825723,261.8507998,14100.96899,9.008495194,358.7247021,290.4238384,17.14990713,82.0251158,4.597165512,0
10.1119767,240.4321002,15331.30269,5.392651282,361.9029262,403.0418101,16.13112429,61.11114634,3.425763242,0
7.397413299,122.5410399,8855.114121,6.888688939,241.6075323,489.8516004,13.3659062,,3.14915751,0
7.812804388,196.583886,42550.84182,7.33464764,,442.5457745,14.66691724,,6.204846359,0
6.877456933,136.8792139,27433.58729,7.091521514,307.3970883,342.1963466,18.40384583,81.19341217,3.827650072,0
,146.9702452,16367.45837,7.687037186,,468.9450148,18.60138073,49.56196889,4.664350321,0
,230.8094825,27418.78104,7.136498392,369.3100078,274.6605966,9.5785846,72.37690878,4.197595209,0
7.521051679,267.0596474,26865.37374,10.44945031,,505.7093717,16.23774577,57.03778017,2.880785347,0
8.550875469,231.2487868,28918.41995,7.822528491,369.2642227,432.28527,16.26629669,73.14946432,3.772886607,0
10.30847766,217.2197464,27653.23518,8.912266341,369.5312064,382.9515048,6.580401551,59.57603991,3.285077052,0
,252.670469,29368.67418,9.906146627,433.9522119,465.2166206,13.22103363,84.19860653,5.052736766,0
7.371085073,207.7168244,24913.83717,9.616330437,362.30018,363.1685384,11.54266178,67.72070438,4.412589537,0
11.18069466,228.3008604,16600.39275,6.094000531,,504.0505391,15.03504691,110.7392993,3.809841654,0
6.506487767,202.2859379,17087.0769,6.201982767,326.6623683,481.7719343,16.53518593,46.20574791,3.548775589,0
6.643935775,151.8896001,10909.19459,3.749625148,240.9367221,437.9090052,15.26474235,64.2039637,3.812952926,0
5.03377399,155.3214775,34971.80748,7.121477448,320.115497,500.6373262,18.31249854,63.19330599,3.244948477,0
6.912607562,155.7404952,17973.17886,4.916302562,275.9082279,439.6480512,18.38071193,55.50746847,2.612248953,0
7.977635991,245.8951304,32170.06916,9.635636083,399.5831549,473.6624528,11.7283382,23.8170199,3.5521295,0
6.078335837,197.5019119,35957.79218,8.130472208,379.5277063,360.0604774,20.09841289,41.86595951,4.201580906,0
6.242414484,191.9087295,28149.41179,7.1304368,319.3067851,448.2425267,19.37009087,60.93948098,4.508705098,0
6.06335479,160.7673113,14775.1456,7.484103647,305.8285533,327.2702387,12.30901596,69.03845387,3.467336915,0
8.129585514,177.8989666,27834.2177,9.006007747,334.4385388,397.0214276,15.93626168,81.3907585,3.362537135,0
9.562405944,202.0136426,13041.82914,5.820655208,327.118824,433.3816667,14.13906591,63.54899266,3.762719837,0
8.167792632,200.9137547,27141.3629,7.262416639,344.1611343,525.5987875,16.142284,66.23143554,4.289395484,0
8.594416135,270.0227059,15791.67535,5.912690624,,672.5569992,20.18405147,54.96128525,3.568991708,0
,167.3861273,20944.62081,4.963124049,,566.339294,11.3188066,,3.679795035,0
6.825467901,187.0517097,46140.12685,6.137757462,352.7021822,373.4272355,12.60638165,58.75220132,3.027449578,0
7.861177701,204.2742411,25145.02412,7.923315375,338.2138034,469.4869612,15.99341035,86.16729829,4.157656628,0
4.96577356,220.8486386,21802.7449,6.250578031,311.598136,386.4133315,18.03523754,53.90817735,3.421766849,0
6.207432968,192.9370271,13442.60347,5.81902294,325.9065618,533.7958508,14.68753934,60.48503329,3.549298841,0
,157.0012874,20067.10533,8.071051029,,490.9097122,17.32294643,71.96926138,4.417559791,0
9.769251006,264.2656543,8471.677381,8.349709767,359.2685426,353.1964755,15.04708691,52.64545853,4.636556195,0
9.63066548,152.8624335,23641.70257,6.92570608,333.1483177,417.1670729,16.67018392,89.99757422,4.920091158,0
5.187471605,104.752425,20060.07873,6.913910914,,368.8154286,15.14034849,98.65664588,3.203257896,0
7.633570088,199.6529996,16312.15497,9.900546897,358.5662821,420.5341718,10.53939227,100.242706,2.927066767,0
5.77119905,155.0508931,24909.44401,6.53126127,297.0093194,313.7019343,11.704789,85.68830345,4.688959065,0
6.579969329,197.2269809,17657.08418,4.506293474,290.2898943,254.3932756,9.847655276,73.74971647,4.575931872,0
4.801154368,180.7728708,13556.7344,8.977286381,322.062447,587.3950117,12.40136807,62.02818652,4.418638132,0
7.948815718,238.2364097,19129.45837,5.851964962,,434.6554586,8.663293701,67.30404028,3.692250861,0
6.906992172,216.7852908,19991.23915,7.302351651,340.1060278,356.4591369,9.614106025,61.12264363,2.124759352,0
,281.268667,22452.09081,6.773698986,343.6358213,395.3417753,14.90308047,67.12516778,4.444350199,0
,190.7794599,12224.31051,4.646211053,308.5648863,399.2713589,11.87679667,61.88663599,3.463172548,0
8.461330874,212.5813664,34406.77645,8.679151556,384.8553815,477.3433686,13.80171218,,3.771944146,0
7.726134808,233.9478637,21667.86874,6.313181872,340.2731714,472.2589937,14.39986002,36.57803789,3.720636904,0
,247.6615733,19549.49934,8.76967029,,438.8657751,16.62465362,64.94900818,3.777737414,0
8.927078148,241.875105,22821.25438,8.549738274,367.9755579,380.1972,10.85928728,75.85706782,4.601860959,0
6.20801554,153.2211063,17358.79637,8.214938853,328.282029,481.1956735,14.27409228,62.71819917,4.334615732,0
6.128425635,141.4924095,9615.83271,7.62791913,277.9517037,415.0087369,16.43584291,50.69392671,4.633823862,0
,202.2548328,11981.74019,9.189106138,339.9839346,416.5889058,14.07922835,62.76552953,2.678910713,0
7.308048848,274.7049505,14600.53952,8.105802882,384.5648525,415.6072778,16.7616247,68.93722695,3.696119712,0
,170.0992357,39906.19027,6.554996213,,515.386742,13.51607813,40.51417236,4.353238589,0
8.640886409,201.5687241,26473.71324,6.967094562,352.3065857,309.9832868,17.66508338,68.66492348,5.263101572,0
,205.5094572,20406.92767,6.810069235,355.2659229,482.3300548,12.33777643,70.58060723,4.102529482,0
8.153210075,127.1448918,10280.9295,5.828357794,267.6368856,487.9083272,11.94347658,90.61935439,2.905788134,0
8.29372011,206.1604149,35216.38597,6.440999766,347.0622407,399.4836212,16.06566794,79.95451096,3.954715283,0
,233.850345,21136.28676,6.689877625,,332.7375865,9.745282009,77.52994451,3.310858508,0
,237.6773831,26009.07526,7.074531321,372.6002964,344.7679244,14.44223828,72.69624049,3.706601792,0
9.489972878,234.0699652,15513.74038,4.735332224,,277.9700697,16.69821637,81.42717402,4.219967522,0
7.830976343,190.7990441,7695.063935,4.845205476,292.5158245,507.4454883,15.52665845,85.0095059,4.588784657,0
4.430281212,139.6857588,28862.25717,8.961372377,298.3794584,434.7812671,17.29929446,63.04250092,4.384565156,0
7.240739639,201.1868045,23783.09956,7.75128544,340.9836834,579.2203941,13.4863791,62.6502355,3.556297467,0
,260.2053596,19517.7248,8.764168678,368.8210368,251.0208987,12.80458815,48.65189043,3.665521764,0
6.867301322,174.1849764,24112.15347,5.529942236,297.6555749,484.1229389,11.482687,65.30441362,3.82359504,0
6.129637015,200.2781822,30989.94841,8.830102319,348.8681541,341.3885767,9.300117278,79.55361207,4.615886181,0
7.917049443,278.056321,27192.28056,9.220128211,424.7879959,358.7817362,15.05431287,56.83960203,3.659484625,0
6.511618075,181.8734217,29136.81462,7.685775096,345.7516385,475.3413507,12.32123216,52.43761714,4.850433708,0
5.323815584,232.36858,37625.75268,8.879822934,380.576472,580.8977004,12.29380305,55.31001941,2.880721846,0
6.769572869,168.9370725,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,62.00157128,5.22054027,0
5.87797404,141.6152867,13652.2932,5.701659125,279.7824004,538.4954044,12.03404227,67.90725801,4.032259504,0
9.534021716,201.955208,9472.61492,6.105708489,319.5764202,259.6368031,15.62561667,,2.768238928,0
6.340027628,225.0281485,45222.50667,5.809031562,363.0057551,435.5004571,11.38593727,80.67031136,3.686001324,0
8.66159243,284.0983515,27088.47646,7.897856522,,512.2773101,16.91214158,72.46576277,3.67043101,0
5.653506135,146.5902323,16462.46009,6.501596205,299.6446114,272.4405583,13.79526446,87.82258511,5.198985504,0
6.626012184,112.2994855,25839.8941,7.658746878,312.2470431,327.2480786,19.40914656,85.78510284,4.194313129,0
7.793833573,176.8664829,18344.68036,7.567676884,338.2295973,371.216973,9.039042454,76.28807631,4.172935335,0
7.59312765,261.5661726,18371.0572,6.297542536,,387.6295723,16.57598077,51.83094808,3.377337638,0
7.362736502,185.692181,16268.44861,5.317019275,316.9186485,419.2584481,16.02424609,64.67891377,4.408513182,0
9.320305445,129.8238585,16002.13832,4.405034532,271.6705616,499.8441671,13.0768589,82.8375829,4.205809732,0
3.719791644,248.8592673,23590.93213,7.683742221,351.5554822,427.4959312,20.39378167,38.6049369,2.718397734,0
6.655605026,216.4411715,20571.84571,8.984236816,,336.8314548,17.74599613,71.70430486,2.951644715,0
9.868877881,214.1662353,15326.85591,3.35159782,297.0841735,424.2928308,19.18844138,70.0705141,3.355489791,0
5.590614436,229.1921395,35370.73552,7.98964067,,469.4130904,13.28155615,76.9927158,4.726845017,0
5.554436511,229.1228286,31344.46039,7.761431064,,306.872526,13.97480047,87.27337543,2.095914087,0
4.126528715,125.4748835,11215.9459,5.366011336,261.4447977,445.2414569,18.57592068,86.43365536,4.460200984,0
5.970035657,230.4493293,16324.1152,5.293918607,315.1861206,327.786642,13.32598708,39.55424883,5.428674072,0
,229.7713495,16162.26231,4.933662227,,448.8460364,8.816486899,,4.600927569,0
8.369154354,183.5003784,12975.90033,6.600853064,315.9011216,493.4654399,12.98710649,87.02941032,3.629749331,0
6.284248242,190.0176486,12206.68121,7.910711202,,395.2610634,13.24613956,58.92772621,3.377132289,0
11.26782838,161.8963622,6040.369868,7.20541412,,316.5358711,11.76830935,25.52526693,4.153347001,0
9.298018008,163.0388346,13990.5134,4.24970162,,399.4773578,15.36588356,83.92316815,3.681324244,0
7.895469246,154.2657803,7769.616119,7.205262042,258.3128794,407.7322172,16.42004096,63.01601758,4.2369473,0
7.947485786,269.809407,34440.77343,6.95828321,390.1042229,425.627814,13.74926131,56.63581132,3.70085384,0
10.02615916,224.2663577,14962.17783,7.428313128,336.9729496,517.5128415,18.85851888,65.36345158,4.182277582,0
6.48819324,225.4819088,34864.42789,8.951692285,385.5056354,324.5098409,12.6965448,97.11286019,4.592073571,0
5.869736755,207.7254552,22244.21824,6.59776434,352.563987,465.6164808,14.83810023,77.82273707,4.689315048,0
,220.8137025,21410.31962,6.324879789,335.8458627,382.197839,9.500295529,86.9901344,3.659974812,0
5.30414266,160.9683582,25299.51156,6.28604311,300.5006892,497.7903905,15.01303033,61.11551322,4.165723664,0
7.533614823,186.9182451,11642.72754,5.890684294,,363.5063443,10.7401459,49.5743083,3.462763987,0
4.077607725,207.8380479,18194.95414,7.923973951,,288.3651931,13.30669203,35.82455649,2.758658531,0
,105.8592636,37928.14218,5.609440346,,358.8887676,12.20710849,71.11989017,3.87385335,0
7.086168401,189.1453777,4304.492483,3.615890517,259.3733218,400.9043497,12.99301224,63.90228825,3.416539753,0
6.271012171,213.444685,24846.14187,8.372997049,,543.3917436,17.91652637,84.57886851,5.303581361,0
7.957768344,276.7335689,17162.39842,7.841541553,397.4319622,514.421722,14.5297793,60.55969904,3.450745892,0
8.875642278,228.9215872,28487.7086,5.31873198,351.9607232,474.772519,14.68397047,52.57886002,4.006991559,0
,192.447171,18257.56927,7.472249066,313.7765458,462.4024491,13.93214538,53.18591655,4.358298341,0
6.613709118,141.1289215,25648.5695,7.222971557,295.2368921,374.7703158,14.03826326,74.2992498,3.539771111,0
7.735705022,137.3181658,16723.97724,7.675826174,282.5398923,595.3292635,18.75613937,63.04277916,2.148611536,0
9.925041328,238.7133934,10704.60318,6.110019418,351.5974227,405.9001841,13.55036657,59.46266898,4.703803489,0
9.00258311,202.9907653,19523.12486,7.244753274,330.3615123,366.4917287,15.68940449,55.69739952,4.904837415,0
5.095766465,273.4084481,26307.29845,10.2198041,380.2014982,513.8775793,18.27241832,61.42518695,4.35219347,0
8.594677108,263.7645927,23220.12061,6.394463065,383.9625918,588.8527329,13.579996,86.19163513,4.754072499,0
7.083779061,112.820254,8580.245561,4.210284081,234.8526993,434.7477154,23.39951606,94.1603073,3.887680685,0
7.682872498,180.7013755,12105.72193,5.396716118,296.2388769,469.8356255,15.83176344,61.8020951,3.778606788,0
,133.8131148,18272.50597,5.911870512,,415.2117346,11.50450612,92.97576168,3.313199022,0
6.419772474,208.7602476,30759.68144,7.767863487,,523.6001756,20.23252348,,3.095233157,0
4.443238899,178.9562058,25008.53225,4.948814509,298.576676,429.544773,17.72972404,56.34768853,3.268324836,0
6.978664262,183.2427962,23114.44608,6.500825402,323.1557769,470.0787053,16.08284748,65.99571677,4.766943236,0
6.623613566,203.0301413,17167.3013,6.049600899,311.7262883,410.2432475,15.91450007,65.02122897,2.915165951,0
3.664710562,201.0973162,28102.75663,5.682035302,330.0235306,291.1484489,17.47063098,75.10180148,3.316157657,0
4.814135621,205.2140411,17650.40505,8.121080147,350.4879387,414.030709,10.99941608,47.40266587,5.190851805,0
5.779673705,199.5860803,24160.35432,9.458128324,,428.5532485,16.02250323,64.8727034,4.656377233,0
6.937818783,177.5781419,12626.19792,7.380882984,,439.624998,9.348252155,83.1632417,3.724089564,0
7.436782609,208.094004,28544.61629,6.500052537,339.0238982,522.79373,17.11527603,65.31127723,3.727663719,0
4.723312573,252.274895,22833.19204,5.922450614,378.5603036,411.2950246,16.58457144,66.72840154,3.917586695,0
9.380658051,265.0612161,15156.78983,4.271544671,333.3344693,503.1706154,11.28641004,99.01600307,4.034349047,0
7.810144933,187.3150477,20418.88993,7.214895724,325.2288808,351.1860809,16.80039961,68.48548029,4.033773709,0
9.436637164,143.7884118,20724.93036,7.700100188,,469.7613277,14.21576467,66.07797804,4.41111744,0
9.406325753,216.7621587,27948.58945,6.156110794,355.4730347,347.9830783,16.34071505,32.10829248,3.097277957,0
6.321259315,207.2577096,8532.139517,5.987876584,286.4892804,491.7653132,10.54688624,74.502808,4.501457204,0
,217.369746,17984.32744,8.594162885,,409.2207765,10.21377929,18.40001219,3.605154199,0
4.705356496,103.173587,19555.76505,6.76729799,,370.1781664,9.182833652,93.90048587,3.437450134,0
8.896418988,222.2562929,8870.902966,6.011342433,332.0026304,425.2268617,10.84773685,,3.700945733,0
6.581878202,272.9827447,37169.4444,8.114731015,416.0834805,351.4768394,15.12933449,79.2610265,4.201662864,0
6.755145902,231.2601313,18536.69865,8.757133179,342.5480142,385.1146477,13.88883433,79.30243573,5.162729749,0
9.445129838,145.8054024,13168.52916,9.444471086,310.5833739,592.659021,8.606396747,77.57745951,3.875165247,1
9.024845037,128.0966912,19859.67648,8.016422649,300.150377,451.143481,14.77086294,73.77802565,3.985250506,1
,169.974849,23403.6373,8.519729851,,475.5735624,12.92410682,50.86191298,2.747312999,1
6.80011909,242.0080815,39143.40333,9.501694588,187.1707144,376.4565931,11.43246635,73.77727503,3.8549399,1
7.174135163,203.4089346,20401.10246,7.681806287,287.0856791,315.5499,14.53351004,74.40561603,3.939895657,1
7.657991237,236.9608892,14245.78912,6.289064859,373.1653628,416.6241889,10.46423858,85.85276861,2.437296288,1
8.322986672,207.2524622,28049.64628,8.827061283,297.8130845,358.7258688,18.70927337,60.91142039,4.052135728,1
5.934279093,223.8581252,23249.65383,4.602849948,,277.3845373,11.36686342,66.62394365,5.217895024,1
9.802720782,98.77164353,27357.45674,9.218150393,323.1990765,512.4287308,14.16893351,59.45443977,2.764633881,1
6.101955231,215.2680896,15976.92623,8.857160044,308.4826954,417.8435527,13.1472795,62.50564153,3.53559633,1
